type,id,category,name,recommended_size,aspect_ratio,image_url
category,momo,,Momo,400x400px minimum,1:1 (square),
category,chowmein,,Chowmein,400x400px minimum,1:1 (square),
category,biryani,,Biryani,400x400px minimum,1:1 (square),
category,burgers,,Burgers & Sandwiches,400x400px minimum,1:1 (square),
category,rolls,,Rolls & Wraps,400x400px minimum,1:1 (square),
category,snacks,,Snacks & Sides,400x400px minimum,1:1 (square),
category,beverages,,Beverages,400x400px minimum,1:1 (square),
category,combo,,Combo Meals,400x400px minimum,1:1 (square),
product,m1,Momo,Classic Chicken Momo,800x640px minimum,1.2:1 (landscape),
product,m2,Momo,Paneer Momo,800x640px minimum,1.2:1 (landscape),
product,m3,Momo,Veg Momo,800x640px minimum,1.2:1 (landscape),
product,m4,Momo,Fried Chicken Momo,800x640px minimum,1.2:1 (landscape),
product,m5,Momo,Kurkure Momo,800x640px minimum,1.2:1 (landscape),
product,m6,Momo,Chicken Cheese Momo,800x640px minimum,1.2:1 (landscape),
product,c1,Chowmein,Chicken Hakka Noodles,800x640px minimum,1.2:1 (landscape),
product,c2,Chowmein,Veg Hakka Noodles,800x640px minimum,1.2:1 (landscape),
product,c3,Chowmein,Schezwan Noodles,800x640px minimum,1.2:1 (landscape),
product,c4,Chowmein,Chicken Singapore Noodles,800x640px minimum,1.2:1 (landscape),
product,b1,Biryani,Chicken Biryani,800x640px minimum,1.2:1 (landscape),
product,b2,Biryani,Mutton Biryani,800x640px minimum,1.2:1 (landscape),
product,b3,Biryani,Veg Biryani,800x640px minimum,1.2:1 (landscape),
product,b4,Biryani,Egg Biryani,800x640px minimum,1.2:1 (landscape),
product,b5,Biryani,Chicken Tikka Biryani,800x640px minimum,1.2:1 (landscape),
product,bu1,Burgers & Sandwiches,Chicken Cheeseburger,800x640px minimum,1.2:1 (landscape),
product,bu2,Burgers & Sandwiches,Veg Burger,800x640px minimum,1.2:1 (landscape),
product,bu3,Burgers & Sandwiches,Chicken Club Sandwich,800x640px minimum,1.2:1 (landscape),
product,bu4,Burgers & Sandwiches,Paneer Tikka Sandwich,800x640px minimum,1.2:1 (landscape),
product,r1,Rolls & Wraps,Chicken Shawarma Roll,800x640px minimum,1.2:1 (landscape),
product,r2,Rolls & Wraps,Paneer Tikka Roll,800x640px minimum,1.2:1 (landscape),
product,r3,Rolls & Wraps,Chicken Kathi Roll,800x640px minimum,1.2:1 (landscape),
product,r4,Rolls & Wraps,Veg Kathi Roll,800x640px minimum,1.2:1 (landscape),
product,s1,Snacks & Sides,Chicken Fry,800x640px minimum,1.2:1 (landscape),
product,s2,Snacks & Sides,French Fries,800x640px minimum,1.2:1 (landscape),
product,s3,Snacks & Sides,Chicken Wings,800x640px minimum,1.2:1 (landscape),
product,s4,Snacks & Sides,Paneer Chilly,800x640px minimum,1.2:1 (landscape),
product,s5,Snacks & Sides,Chicken Chilly,800x640px minimum,1.2:1 (landscape),
product,be1,Beverages,Sweet Lassi,800x640px minimum,1.2:1 (landscape),
product,be2,Beverages,Mango Lassi,800x640px minimum,1.2:1 (landscape),
product,be3,Beverages,Cold Coffee,800x640px minimum,1.2:1 (landscape),
product,be4,Beverages,Masala Chai,800x640px minimum,1.2:1 (landscape),
product,be5,Beverages,Fresh Lime Soda,800x640px minimum,1.2:1 (landscape),
product,co1,Combo Meals,Momo Combo - 2 Plates,800x640px minimum,1.2:1 (landscape),
product,co2,Combo Meals,Biryani Combo,800x640px minimum,1.2:1 (landscape),
product,co3,Combo Meals,Chowmein + Chicken Fry Combo,800x640px minimum,1.2:1 (landscape),
product,co4,Combo Meals,Burger + Fries Combo,800x640px minimum,1.2:1 (landscape),
product,co5,Combo Meals,Snack Platter Combo,800x640px minimum,1.2:1 (landscape),
product,co6,Combo Meals,Roll + Lassi Combo,800x640px minimum,1.2:1 (landscape),
